WKT;DN
POLYGON ((16.3161600033376 48.0188888900072,16.3178266700044 48.0188888900072,16.3178266700044 48.017777778896,16.3161600033376 48.017777778896,16.3161600033376 48.0188888900072));-120
POLYGON ((16.3328266700056 48.0188888900072,16.3383822255616 48.0188888900072,16.3383822255616 48.017777778896,16.3328266700056 48.017777778896,16.3328266700056 48.0188888900072));-106
POLYGON ((16.3400488922284 48.0188888900072,16.3417155588952 48.0188888900072,16.3417155588952 48.017777778896,16.3400488922284 48.017777778896,16.3400488922284 48.0188888900072));-106
